Designator,Mid X,Mid Y,Layer,Rotation
C1,68.0000mm,14.0000mm,Bottom,180.00
C2,68.0000mm,19.0000mm,Bottom,180.00
C3,39.0000mm,23.8000mm,Bottom,90.00
C4,39.0000mm,25.8000mm,Bottom,90.00
C5,39.0000mm,27.8000mm,Bottom,90.00
C6,51.0000mm,23.8000mm,Bottom,90.00
C7,51.0000mm,25.8000mm,Bottom,90.00
C8,51.0000mm,27.8000mm,Bottom,90.00
C9,49.0000mm,19.5000mm,Bottom,90.00
C10,31.0000mm,66.0000mm,Bottom,180.00
C19,64.0000mm,30.0000mm,Bottom,180.00
D1,42.5750mm,16.4250mm,Bottom,90.00
D2,59.0000mm,18.0000mm,Bottom,90.00
D3,23.5250mm,41.2250mm,Bottom,90.00
D4,42.5750mm,41.2250mm,Bottom,90.00
D5,61.6250mm,41.2250mm,Bottom,90.00
D6,79.0750mm,41.2250mm,Bottom,90.00
D7,23.5250mm,60.2750mm,Bottom,90.00
D8,42.5750mm,60.2750mm,Bottom,90.00
D9,61.6250mm,60.2750mm,Bottom,90.00
D10,80.6750mm,60.2750mm,Bottom,90.00
D11,52.1000mm,79.3250mm,Bottom,90.00
D12,80.6750mm,79.3250mm,Bottom,90.00
J1,45.0000mm,5.1000mm,Top,0.00
LED1,35.4750mm,11.4250mm,Bottom,180.00
LED2,54.5250mm,11.4250mm,Bottom,180.00
LED3,16.4250mm,30.4750mm,Bottom,180.00
LED4,35.4750mm,30.4750mm,Bottom,180.00
LED5,54.5250mm,30.4750mm,Bottom,180.00
LED6,73.5750mm,30.4750mm,Bottom,180.00
LED7,16.4250mm,49.5250mm,Bottom,180.00
LED8,35.4750mm,49.5250mm,Bottom,180.00
LED9,54.5250mm,49.5250mm,Bottom,180.00
LED10,73.5750mm,49.5250mm,Bottom,180.00
LED11,45.0000mm,68.5750mm,Bottom,180.00
LED12,73.5750mm,68.5750mm,Bottom,180.00
LED13,14.0000mm,8.0000mm,Bottom,180.00
LED14,30.0000mm,8.0000mm,Bottom,180.00
LED15,60.0000mm,8.0000mm,Bottom,180.00
LED16,76.0000mm,8.0000mm,Bottom,180.00
LED17,8.0000mm,45.0000mm,Bottom,180.00
LED18,82.0000mm,45.0000mm,Bottom,180.00
LED19,30.0000mm,84.0000mm,Bottom,180.00
LED20,45.0000mm,82.0000mm,Bottom,180.00
LED21,60.0000mm,84.0000mm,Bottom,180.00
LED22,6.0000mm,64.0000mm,Bottom,180.00
LED23,6.0000mm,72.0000mm,Bottom,180.00
LED24,14.0000mm,84.0000mm,Bottom,180.00
R1,39.0000mm,7.5000mm,Bottom,180.00
R2,43.0000mm,7.5000mm,Bottom,180.00
R3,51.0000mm,19.0000mm,Bottom,90.00
R4,45.7500mm,19.5000mm,Bottom,90.00
U1,45.0000mm,27.0000mm,Bottom,180.00
U3,64.0000mm,16.0000mm,Bottom,180.00
U4,45.0000mm,11.0000mm,Bottom,180.00
U5,63.0000mm,36.0000mm,Bottom,180.00
U6,27.0000mm,66.0000mm,Bottom,180.00
